ChildID;Gender;Age in months;CR;Language;corpus;Syllable complexity;Age_centered_overA1;Age_centered_overA2;;A1 = Global Average;A2 = Average noCychosz noSeedlings >50mo
F34Casillas-Yeli;F;9;0.068627451;Yélî;Casillas-Yeli;Low;-13.0616649;-8.95;;;
5D7123970000332D;M;9;0.549450549;Yélî;Yélî;Low;-13.0616649;-8.95;;;
5D711E380000332A;F;9.2;0.37804878;Yélî;Yélî;Low;-12.8616649;-8.75;;;
5D704C52000024F2;M;12.6;0.35;Yélî;Yélî;Low;-9.4616649;-5.35;;;
F23Casillas-Yeli;F;13;0.202247191;Yélî;Casillas-Yeli;Low;-9.0616649;-4.95;;;
5D7122270000332C;M;13.1;0.450704225;Yélî;Yélî;Low;-8.9616649;-4.85;;;
5D7116B900003330;M;13.7;0.474576271;Yélî;Yélî;Low;-8.3616649;-4.25;;;
5D712519000024F2;M;14.5;0.351851852;Yélî;Yélî;Low;-7.5616649;-3.45;;;
5D7124AF0000332B;M;15.1;0.448717949;Yélî;Yélî;Low;-6.9616649;-2.85;;;
5D71234E00002028;M;15.5;0.672727273;Yélî;Yélî;Low;-6.5616649;-2.45;;;
5D712553000024F0;F;16.2;0.513513514;Yélî;Yélî;Low;-5.8616649;-1.75;;;
5D71258600002028;F;16.6;0.416666667;Yélî;Yélî;Low;-5.4616649;-1.35;;;
F10Casillas-Yeli;M;17;0.369369369;Yélî;Casillas-Yeli;Low;-5.0616649;-0.95;;;
F11Casillas-Yeli;F;20;0.395348837;Yélî;Casillas-Yeli;Low;-2.0616649;2.05;;;
5D71244F00003329;F;20.2;0.511111111;Yélî;Yélî;Low;-1.8616649;2.25;;;
5D704A6D00003329;F;23.5;0.543478261;Yélî;Yélî;Low;1.4383351;5.55;;;
F31Casillas-Yeli;F;26;0.61627907;Yélî;Casillas-Yeli;Low;3.9383351;8.05;;;
5D7121C00000332E;M;26.1;0.73015873;Yélî;Yélî;Low;4.0383351;8.15;;;
5D711C0500002028;M;26.3;0.72;Yélî;Yélî;Low;4.2383351;8.35;;;
5D71269300003329;F;27.6;0.553846154;Yélî;Yélî;Low;5.5383351;9.65;;;
5D7126C200002028;M;29.1;0.626086957;Yélî;Yélî;Low;7.0383351;11.15;;;
5D7122FF0000332E;F;32.5;0.632478632;Yélî;Yélî;Low;10.4383351;14.55;;;
5D711B88000024F0;F;34.9;0.5125;Yélî;Yélî;Low;12.8383351;16.95;;;
F13Casillas-Yeli;M;36;0.577777778;Yélî;Casillas-Yeli;Low;13.9383351;18.05;;;
5D7053E00000332C;F;37.6;0.596638655;Yélî;Yélî;Low;15.5383351;19.65;;;
5D71241F0000332F;M;45.9;0.634146341;Yélî;Yélî;Low;23.8383351;27.95;;;
5D7125C90000332E;M;52.2;0.748091603;Yélî;Yélî;Low;30.1383351;;;;
5D7054700000332E;M;52.9;0.632653061;Yélî;Yélî;Low;30.8383351;;;;
5D7122C60000332F;M;54;0.606382979;Yélî;Yélî;Low;31.9383351;;;;
5D7126430000332A;F;57.3;0.68852459;Yélî;Yélî;Low;35.2383351;;;;
5D71260800003330;M;63.2;0.784313725;Yélî;Yélî;Low;41.1383351;;;;
5D711D780000332D;F;63.3;0.58974359;Yélî;Yélî;Low;41.2383351;;;;
5D704B7D0000332F;M;67.1;0.657142857;Yélî;Yélî;Low;45.0383351;;;;
5D71228300003330;M;67.4;0.784172662;Yélî;Yélî;Low;45.3383351;;;;
5D7121000000332B;F;70.3;0.329268293;Yélî;Yélî;Low;48.2383351;;;;
5D7124E40000332C;F;71.8;0.626760563;Yélî;Yélî;Low;49.7383351;;;;
e20200220_153526_008232random_native.eaf-LML.eaf;;11.44097051;0.382978723;French;French;High;-10.6206944;-6.51;;;
e20200226_105144_013099random_native.eaf-LML.eaf;;11.14508334;0;French;French;High;-10.9165816;-6.80;;;
e20200226_121334_009458random_native-LML.eaf;;11.70398133;0.303030303;French;French;High;-10.3576836;-6.24;;;
e20200302_155025_008232random_native-LML.eaf;;11.70398133;0.106060606;French;French;High;-10.3576836;-6.24;;;
e20200304_111401_013098random_native-LML.eaf;;11.57247592;0.375;French;French;High;-10.4891890;-6.38;;;
