ChildID;Gender;Age in months;CR;CR Adults;Language;corpus;Syllable complexity;C_count;V_count;Multinlingualism_likelihood
10Tsimane;M;30;0,34375;;Tsimane;Tsimane;Moderate;24;18;Y
2Tsimane;F;32;0,464646465;;Tsimane;Tsimane;Moderate;24;18;Y
3Tsimane;M;32;0,22826087;;Tsimane;Tsimane;Moderate;24;18;Y
tsimane2017_C01_20170706/20170718periodic-NK.eaf;F;32;0,468085;0,973154;Tsimane;Tsimane;Moderate;24;18;Y
tsimane2017_C02_20170706/20170718periodic-NK.eaf;M;20;0,227273;0,912000;Tsimane;Tsimane;Moderate;24;18;Y
tsimane2017_C03_20170707/20170718periodic-NK.eaf;M;48;0,651685;0,901961;Tsimane;Tsimane;Moderate;24;18;Y
tsimane2017_C04_20170707periodic-NK.eaf;F;35;0,691358;1,000000;Tsimane;Tsimane;Moderate;24;18;Y
01_CW06_CH06_FB11_FB34_190802_periodic_non-native-NM;F;12;0,403226;0,949153;Ughele;Solomon;Low;18;5;Y
1_CW3_CH3_AJ18_AJ13_190811_periodic_non-native-NK.eaf;F;16;0,328571429;0,923469388;Vaghua;Solomon;Low;;;Y
1_CW3_CH3_AJ04_AJ10_190620_periodic_non-native-NK.eaf;M;18;0,457142857;0,944444444;Varisi;Solomon;Low;;;Y
1_CW1_CH1_AJ17_AJ06_190807_1_periodic_non-native-NM.eaf;F;24;0,409395973;0,84516129;Varisi;Solomon;Low;;;Y
1_CW2_CH2_AJ17_AJ02_190807_periodic_non-native-NK.eaf;M;26;0,62406015;0,916666667;Varisi;Solomon;Low;;;Y
F07Casillas-Yeli;F;1;0,058823529;;Yélî;Casillas-Yeli;Low;56;38;N
F28Casillas-Yeli;M;4;0,1;;Yélî;Casillas-Yeli;Low;56;38;N
F32Casillas-Yeli;M;4;0,194805195;;Yélî;Casillas-Yeli;Low;56;38;N
5D7123D50000332A;M;7,9;0,318181818;;Yélî;Yélî;Low;56;38;N
F42Casillas-Yeli;M;8;0,223684211;;Yélî;Casillas-Yeli;Low;56;38;N
F34Casillas-Yeli;F;9;0,068627451;;Yélî;Casillas-Yeli;Low;56;38;N
5D7123970000332D;M;9;0,549450549;;Yélî;Yélî;Low;56;38;N
5D711E380000332A;F;9,2;0,37804878;;Yélî;Yélî;Low;56;38;N
5D704C52000024F2;M;12,6;0,35;;Yélî;Yélî;Low;56;38;N
F23Casillas-Yeli;F;13;0,202247191;;Yélî;Casillas-Yeli;Low;56;38;N
5D7122270000332C;M;13,1;0,450704225;;Yélî;Yélî;Low;56;38;N
5D7116B900003330;M;13,7;0,474576271;;Yélî;Yélî;Low;56;38;N
5D712519000024F2;M;14,5;0,351851852;;Yélî;Yélî;Low;56;38;N
5D7124AF0000332B;M;15,1;0,448717949;;Yélî;Yélî;Low;56;38;N
5D71234E00002028;M;15,5;0,672727273;;Yélî;Yélî;Low;56;38;N
5D712553000024F0;F;16,2;0,513513514;;Yélî;Yélî;Low;56;38;N
5D71258600002028;F;16,6;0,416666667;;Yélî;Yélî;Low;56;38;N
